bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
2020JCAP...06..022S,Constraining gravity theories with the gravitational stability mass,2020,6,Journal of Cosmology and Astroparticle Physics,2020,022,2,2,4,General Relativity and Quantum Cosmology,10.1088/1475-7516/2020/06/022,arXiv:1905.07620,https://ui.adsabs.harvard.edu/abs/2020JCAP...06..022S
2020JCAP...06..017A,Search for magnetically-induced signatures in the arrival directions of ultra-high-energy cosmic rays measured at the Pierre Auger Observatory,2020,6,Journal of Cosmology and Astroparticle Physics,2020,017,200,0,14,Astrophysics - High Energy Astrophysical Phenomena,10.1088/1475-7516/2020/06/017,arXiv:2004.10591,https://ui.adsabs.harvard.edu/abs/2020JCAP...06..017A
2020MNRAS.496L..85S,Scattered light may reveal the existence of ringed exoplanets,2020,7,Monthly Notices of the Royal Astronomical Society,496,L85,5,1,10,methods: analytical; techniques: photometric; planets and satellites: rings; Astrophysics - Earth and Planetary Astrophysics; Astrophysics - Instrumentation and Methods for Astrophysics,10.1093/mnrasl/slaa080,arXiv:2004.14121,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496L..85S
2020MNRAS.495.4113F,Dynamical orbital classification of selected N-rich stars with Gaia Data Release 2 astrometry,2020,7,Monthly Notices of the Royal Astronomical Society,495,4113,7,1,38,stars: chemically peculiar; Galaxy: bulge; Galaxy: halo; Galaxy: kinematics and dynamics; Galaxy: stellar content; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/staa1386,arXiv:1904.05370,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.4113F
2020AN....341..628Q,The massive binary system 9 Sgr revisited: New insights into disentangling methods,2020,7,Astronomische Nachrichten,341,628,3,1,12,Astrophysics - Solar and Stellar Astrophysics,10.1002/asna.202013696,arXiv:2010.01181,https://ui.adsabs.harvard.edu/abs/2020AN....341..628Q
2020GReGr..52...87V,The Kerr-Newman black hole as a rotating Van der Waals gas,2020,9,General Relativity and Gravitation,52,87,4,1,4,Kerr black hole; Equation of state; Horizon thermodynamics,10.1007/s10714-020-02739-2,,https://ui.adsabs.harvard.edu/abs/2020GReGr..52...87V
2020ApJ...901L...9L,Submerged Sources of Transient Acoustic Emission from Solar Flares,2020,9,The Astrophysical Journal Letters,901,L9,8,3,10,Solar physics; Helioseismology; Solar flares; 1476; 709; 1496,10.3847/2041-8213/abad2a,,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L...9L
2020ApJ...900....6Y,Using the Mark Weighted Correlation Functions to Improve the Constraints on Cosmological Parameters,2020,9,The Astrophysical Journal,900,6,11,1,13,Large-scale structure of the universe; Cosmological parameters from large-scale structure; 902; 340; Astrophysics - Cosmology and Nongalactic Astrophysics,10.3847/1538-4357/aba35b,arXiv:2007.03150,https://ui.adsabs.harvard.edu/abs/2020ApJ...900....6Y
2020A&A...641A..34B,Geodesic motion of S2 and G2 as a test of the fermionic dark matter nature of our Galactic core,2020,9,Astronomy and Astrophysics,641,A34,5,1,60,Galaxy: center; Galaxy: kinematics and dynamics; Galaxy: structure; dark matter; elementary particles; Astrophysics - Astrophysics of Galaxies; General Relativity and Quantum Cosmology,10.1051/0004-6361/201935990,arXiv:2007.11478,https://ui.adsabs.harvard.edu/abs/2020A&A...641A..34B
2020RMxAA..56..217L,Infrared Transitions of Diatomic Molecules and the Telluric Lines,2020,10,Revista Mexicana de Astronomia y Astrofisica,56,217,3,1,0,line: identification; methods: analytical; molecular data,10.22201/ia.01851101p.2020.56.02.04,,https://ui.adsabs.harvard.edu/abs/2020RMxAA..56..217L
